ParticipantId,PictureName,Status,Condition,Placement,LabelType,ReactionTime,Response,NASAParticipantId,NASA_Condition,NASA_Placement,NASA_LabelType,MentalDemand,TemporalDemand,PhysicalDemand,Performance,Effort,FrustrationLevel,SEParticipantId,SE_Condition,SE_Placement,SE_LabelType,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,SDQParticipantId,Q1,Q1Type,Q2,Q2Type,Q3,Q3Type,Q4,Q4Type,Q5,Q5Type,Ranking1ParticipantId,Explicit,Implicit,Mix,Ranking2ParticipantId,Concurrent,PostExposure,Ranking3ParticipantId,CCTEx,CCTIm,CCTM,PEEx,PEIm,PEM,Control
20.0,DM_7,PEM,PEM,PostExposure,Mix,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_4,PEM,PEM,PostExposure,Mix,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_9,PEM,PEM,PostExposure,Mix,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_5,PEM,PEM,PostExposure,Mix,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_10,PEM,PEM,PostExposure,Mix,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_6,PEM,PEM,PostExposure,Mix,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_3,PEM,PEM,PostExposure,Mix,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_1,PEM,PEM,PostExposure,Mix,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_2,PEM,PEM,PostExposure,Mix,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_8,PEM,PEM,PostExposure,Mix,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_7,PEM_PostExposure,PEM,PostExposure,Mix,17.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_4,PEM_PostExposure,PEM,PostExposure,Mix,15.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_9,PEM_PostExposure,PEM,PostExposure,Mix,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_5,PEM_PostExposure,PEM,PostExposure,Mix,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_10,PEM_PostExposure,PEM,PostExposure,Mix,28.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_6,PEM_PostExposure,PEM,PostExposure,Mix,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_3,PEM_PostExposure,PEM,PostExposure,Mix,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_1,PEM_PostExposure,PEM,PostExposure,Mix,21.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_2,PEM_PostExposure,PEM,PostExposure,Mix,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,DM_8,PEM_PostExposure,PEM,PostExposure,Mix,14.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20.0,PEM,PostExposure,Mix,18.0,5.0,8.0,9.0,12.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,20.0,PEM,PostExposure,Mix,70.0,60.0,60.0,50.0,50.0,40.0,40.0,30.0,20.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,C_5,Control,Control,Control,Control,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,C_1,Control,Control,Control,Control,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,C_6,Control,Control,Control,Control,15.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,C_3,Control,Control,Control,Control,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,C_4,Control,Control,Control,Control,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,C_10,Control,Control,Control,Control,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,C_8,Control,Control,Control,Control,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,C_2,Control,Control,Control,Control,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,C_7,Control,Control,Control,Control,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,C_9,Control,Control,Control,Control,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20.0,Control,Control,Control,16.0,8.0,12.0,12.0,16.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,20.0,Control,Control,Control,90.0,90.0,80.0,70.0,60.0,60.0,50.0,40.0,40.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,PTF_5,CCTEx,CCTEx,Concurrent,Explicit,14.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,PTF_10,CCTEx,CCTEx,Concurrent,Explicit,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,PTF_8,CCTEx,CCTEx,Concurrent,Explicit,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,PTF_4,CCTEx,CCTEx,Concurrent,Explicit,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,PTF_3,CCTEx,CCTEx,Concurrent,Explicit,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,PTF_2,CCTEx,CCTEx,Concurrent,Explicit,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,PTF_7,CCTEx,CCTEx,Concurrent,Explicit,14.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,PTF_9,CCTEx,CCTEx,Concurrent,Explicit,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,PTF_1,CCTEx,CCTEx,Concurrent,Explicit,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,PTF_6,CCTEx,CCTEx,Concurrent,Explicit,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20.0,CCTEx,Concurrent,Explicit,12.0,6.0,13.0,15.0,13.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,20.0,CCTEx,Concurrent,Explicit,70.0,70.0,60.0,60.0,50.0,50.0,40.0,40.0,30.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,PE_1,CCTIm,CCTIm,Concurrent,Implicit,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,PE_10,CCTIm,CCTIm,Concurrent,Implicit,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
